origin_city,destination_city,weight_tons,distance_miles,price_per_ton_mile
Los Angeles CA,Seattle WA,0.010368,958.877145712779,0.00124416
Laredo TX,Arkansas,0.01443,674.3863911086939,0.0017316
Rest of WI,Fort Wayne IN,5.152296,200.11240829796927,0.6182755199999999
Arkansas,Rest of OH,0.013843,719.7115729429557,0.0016611599999999999
Nashville TN,Rest of TN,0.000542,4836.230293438476,6.503999999999997e-05
Sacramento CA,Fresno CA,0.000513,157.95306406897245,6.155999999999972e-05
Tampa FL,Rest of AZ,4e-05,1687.692523671543,4.7999999999999955e-06
Rest of VA,Tucson AZ,7.163338,1960.701338384539,0.85960056
Arkansas,Savannah GA,2.25569,885.4285064763277,0.27068279999999995
Rest of AL,Rest of MD,0.303297,690.2428587220032,0.03639563999999999
Rest of WI,Greenville SC,0.055322,640.8463680885345,0.00663864
Rest of KY,Los Angeles CA,0.192986,2000.43216204147,0.023158319999999996
Rest of CA,Seattle WA,0.202769,1994.8197030097272,0.024332279999999998
Rest of WI,Los Angeles CA,0.000626,1741.2991911268975,7.511999999999997e-05
Columbus OH,Idaho,0.000129,1611.97319963246,1.547999999999995e-05
Fresno CA,Houston TX,0.003776,1488.371486688847,0.00045311999999999994
Savannah GA,Miami FL,0.004306,1216.200129359304,0.0005167199999999999
Rest of IL,New Mexico,0.013687,1114.773663012913,0.00164244
Savannah GA,Rest of GA,3.5e-05,3486.7605394923075,4.199999999999974e-06
Rest of KS,New Mexico,0.00155,555.2891802582951,0.00018599999999999983
Baltimore MD,Oklahoma City OK,0.033088,1177.3611977187877,0.00397056
Dayton OH,Rest of VA,0.014706,397.36259517268695,0.00176472
Rest of IL,Rest of CA,0.073553,442.0800299612199,0.008826359999999998
North Dakota,Nashville TN,0.046958,1059.4725982773934,0.00563496
Greenville SC,Raleigh-Durham NC,0.052644,215.89717059899425,0.00631728
San Diego CA,Los Angeles CA,0.152357,111.09265847222484,0.018282839999999998
Austin TX,Tucson AZ,0.000493,794.0703463577739,5.915999999999999e-05
Rest of CA,San Francisco CA,5.096101,2223.365496058656,0.6115321199999999
Rest of FL,Seattle WA,0.782992,2415.8735863017646,0.09395904000000001
Rest of CA,New Mexico,0.226864,1545.8419251811342,0.02722368
Rest of MN,Fort Wayne IN,1.015329,667.908238239886,0.12183947999999997
Charleston SC,Orlando FL,0.068681,304.98584238364447,0.008241720000000001
Rest of SC,Atlanta GA,0.258275,118.19846715455614,0.030992999999999996
Salt Lake City UT,Rest of CA,0.011987,1624.4781556885243,0.0014384399999999998
Greenville SC,Savannah GA,0.013563,608.0085419630025,0.00162756
Rest of TN,Hartford CT,1.1e-05,4006.9712361716506,1.3199999999999804e-06
Milwaukee WI,Laredo TX,0.706951,1252.6941267355269,0.08483412
Salt Lake City UT,Savannah GA,0.000924,1654.353477976562,0.00011088
Laredo TX,Montana,0.003461,1476.091871796411,0.00041532
Montana,Iowa,0.002169,886.2013869796237,0.00026027999999999994
Mississippi,Columbus OH,1.34043,610.3200354083538,0.16085159999999998
New Mexico,Rest of NE,0.015548,7994.45860175496,0.0018657599999999997
Dayton OH,Laredo TX,0.348275,1218.2763969456769,0.041793
Orlando FL,Savannah GA,0.024637,1029.3079697893745,0.0029564400000000003
Rest of FL,Rest of TN,4.8e-05,4944.765452476015,5.7599999999999914e-06
Fort Wayne IN,Nashville TN,0.124383,350.5488172654008,0.014925959999999997
Charleston SC,Rest of GA,0.003317,3976.860489855285,0.00039803999999999995
Rest of TX,Houston TX,0.000317,427.8731791669677,3.8039999999999887e-05
Rest of PA,Rest of WI,0.87301,780.8461778070713,0.1047612
Rest of CT,Rest of MA,0.048639,612.7681835411463,0.00583668
Detroit MI,Grand Rapids MI,0.124541,140.49654010964787,0.014944919999999999
Rest of SC,Savannah GA,4.001531,632.1043764960423,0.48018372
Dayton OH,Rest of TX,0.411221,974.4554753389596,0.049346520000000005
San Francisco CA,Rest of OR,5.567752,321.8412225122945,0.6681302399999999
Rest of DE,Baltimore MD,0.028332,4016.667416021304,0.0033998400000000003
Greenville SC,Savannah GA,0.024317,608.0085419630025,0.00291804
Beaumont TX,Rest of FL,0.042562,684.9567076611414,0.00510744
Charleston SC,Columbus OH,0.008449,523.1605881878091,0.0010138799999999998
Laredo TX,Austin TX,6e-06,218.27146054014855,7.199999999999681e-07
Tulsa OK,Rest of NE,16.95893,8211.713258697453,2.0350715999999998
San Francisco CA,Tampa FL,0.117849,2401.031986976913,0.01414188
Rest of NY,Rest of FL,3.588232,877.9473838532163,0.43058783999999994
Dayton OH,Rest of KS,0.113953,704.5460652500058,0.01367436
Houston TX,Corpus Christi TX,0.157553,184.7714703749922,0.01890636
Iowa,Rest of IL,0.000602,295.8162083914373,7.223999999999989e-05
Oklahoma City OK,Rest of WA,0.006049,10333.461970035434,0.0007258799999999999
Richmond VA,Miami FL,0.406729,9316.860264088476,0.048807479999999986
West Virginia,Rest of VA,1.048821,326.09260561952016,0.12585852
Montana,Rest of UT,0.003529,4319.294097562515,0.0004234799999999999
Rest of PA,Miami FL,0.00715,521.344690693401,0.0008579999999999998
Rest of SC,Laredo TX,5.307815,1114.138519381343,0.6369378
Houston TX,Rest of TX,4.528951,427.8731791669677,0.54347412
Beaumont TX,Oklahoma City OK,0.011613,421.3057228915218,0.00139356
Hartford CT,Baton Rouge LA,0.002418,1080.5656730634018,0.0002901599999999999
Columbus OH,Rest of MI,0.000116,480.3213557489542,1.3919999999999912e-05
Rest of WI,Rest of CT,0.170265,633.1245548109606,0.020431799999999996
Rest of GA,North Dakota,0.137139,4067.607030377087,0.01645668
Rest of WI,Grand Rapids MI,0.104151,117.247541234094,0.01249812
Rest of AL,Rest of WA,0.053274,11084.3809869463,0.00639288
Rest of KY,Seattle WA,0.085908,2105.6254686713305,0.010308959999999999
Rest of OR,Austin TX,0.000124,1635.39202030076,1.4879999999999996e-05
Rest of SC,Savannah GA,0.849373,632.1043764960423,0.10192476
Tucson AZ,Cleveland OH,0.000145,1733.542223648982,1.739999999999995e-05
Maine,West Virginia,0.201096,791.3624121922915,0.024131520000000004
Charleston SC,Miami FL,0.000644,483.3390798891824,7.727999999999996e-05
Greenville SC,Seattle WA,0.010785,2228.358275550454,0.0012942
Arkansas,Rest of NY,0.036139,1077.4275351097058,0.00433668
Detroit MI,Raleigh-Durham NC,0.01965,500.27968974119466,0.002358
Birmingham AL,Detroit MI,4.414103,637.2385457579535,0.52969236
Nashville TN,Savannah GA,0.032853,625.4894517776788,0.003942360000000001
Los Angeles CA,Rest of IL,4.387586,1746.8195277382142,0.52651032
Columbus OH,Rest of AL,2.208489,564.2948813865675,0.26501868
Dayton OH,Rest of IN,101.495683,8624.35935382422,12.179481960000002
Rest of KY,Denver CO,14.194266,1212.9708840463147,1.7033119200000002
Savannah GA,Rest of AL,0.10417,843.5187514705538,0.012500399999999998
Vermont,Rest of TX,0.028423,1646.4562700737276,0.00341076
West Virginia,Rest of MA,0.000105,400.04961184114114,1.2599999999999803e-05
Tucson AZ,Rest of AZ,0.003675,44.316059721640144,0.00044099999999999993
Birmingham AL,Savannah GA,2.011551,778.6542524401669,0.24138612
Rest of IL,Rest of KY,7.237771,380.7004193835336,0.8685325199999999
Rest of SC,Atlanta GA,0.000219,118.19846715455614,2.62799999999997e-05
Rest of TN,Rest of CT,0.002147,4712.782346208526,0.00025764
Birmingham AL,Rest of MI,0.349991,862.718136870338,0.04199891999999999
Rest of AZ,San Francisco CA,70.26475,796.7209415759635,8.43177
Mississippi,Atlanta GA,21.543132,313.6589286016803,2.58517584
Los Angeles CA,Columbus OH,0.259732,1977.6886261400368,0.031167839999999995
Raleigh-Durham NC,Rest of TN,0.116087,4516.198822071486,0.013930439999999999
Houston TX,Rest of MO,6.281411,631.6281387454047,0.7537693200000001
Rest of NE,Rest of UT,0.053303,10702.558177305218,0.006396359999999999
Orlando FL,Rest of NY,0.051421,943.3371939584828,0.0061705200000000005
Houston TX,Rest of TX,7.7e-05,427.8731791669677,9.23999999999981e-06
Seattle WA,Rest of NY,0.049277,2408.049169468083,0.00591324
Miami FL,Richmond VA,0.000834,9316.860264088476,0.00010007999999999996
Oklahoma City OK,Columbus OH,0.007614,852.14644743624,0.00091368
Rest of MD,Rest of NY,0.045065,181.4102578474021,0.0054078
Baltimore MD,Atlanta GA,1.425768,577.0575770360402,0.17109216
Rest of AL,Detroit MI,1.699363,724.1465461948251,0.20392355999999998
